Basic Identification,,,,,Botanical Characteristics,,,,,,Environmental Requirements,,,,,,Location & Suitability,,,,,Environmental Impact,,,Maintenance & Care,,,,,Growth & Structure,,,,,Commercial / Business,,,,Geo Mapping,,,,Description & Use,,
Plant ID,Common Name,Scientific Name,Family,Other Names,Plant Type,Lifecycle,Growth Rate,Mature Height,Mature Width,Root Type,Sunlight Requirement,Watering Needs,Soil Type,Soil pH Range,Temperature Range,Humidity Requirement,Suitable Regions,Climate Zone,Hardiness Zone,Lat/Long Suitability,Urban/Rural Suitability,Oxygen Production Range (kg/yr),CO2 Absorption Range (kg/yr),Pollution Tolerance,Care Level,Pruning Requirement,Fertilizer Needs,Pest Resistance,Disease Susceptibility,Growth Pattern,Canopy Type,Leaf Type,Flowering Season,Fruiting Season,Cost per Plant,Availability,Nursery Source,Plantation Time,Area Size Required,Plantation Density,Spacing Between Plants,"Geo Coordinates (Lat, Lon)",Description,Benefits,Use Cases
IND-0001,Neem,Azadirachta indica,Meliaceae,"Nim, Nimtree, Indian Lilac",Tree,Perennial,Slow,12.6 – 31.5 m,2.0 – 4.9 m,Adventitious,Full Sun / Partial,High,Clay Loam,7.0 – 8.5,8°C – 44°C,Medium (50-70%),South India,Subtropical,9b,"13.1553°N, 78.3985°E",Rural,74.5 – 149.0 kg/yr,23.5 – 47.0 kg/yr,Low,Low,Not Required,Organic (Monthly),Low,High,Columnar,Columnar,Evergreen,Mar-May,Sep-Nov,?806 – ?1612,Common,Private Agri Nursery,Feb-Mar,48.6 – 97.3 sq.m,160 – 278 plants/ha,54.7 – 85.5 m,"13.1553, 78.3985","Neem (Azadirachta indica) is a perennial tree native to or widely cultivated in India. It belongs to the family Meliaceae and thrives in clay loam soils. Known for its ornamental value, it is widely planted across South India.",Provides 106.4 kg/year oxygen; absorbs 33.6 kg CO2/year; improves AQI; excellent shade tree.,Coastal Protection
IND-0002,Banyan,Ficus benghalensis,Moraceae,"Vad, Bargad, Indian Fig Tree",Tree,Perennial,Fast,4.2 – 10.5 m,3.9 – 9.8 m,Lateral Spreading,Partial Sun,Medium,Alluvial,6.0 – 7.5,15°C – 38°C,High (70-90%),Central India,Arid,10a,"19.346°N, 76.4173°E",Both,189.8 – 379.5 kg/yr,34.6 – 69.2 kg/yr,Medium,High,Yes – Annual,NPK (Quarterly),High,High,Weeping,Columnar,Evergreen,Year-round,Monsoon,?1229 – ?2458,Seasonally Available,Private Agri Nursery,Nov-Dec,93.2 – 186.5 sq.m,213 – 370 plants/ha,47.4 – 74.0 m,"19.346, 76.4173","Banyan (Ficus benghalensis) is a perennial tree native to or widely cultivated in India. It belongs to the family Moraceae and thrives in clay loam soils. Known for its ornamental value, it is widely planted across Central India.",Provides 271.1 kg/year oxygen; absorbs 49.4 kg CO2/year; improves AQI; excellent shade tree.,Medicinal / Ayurvedic
IND-0003,Peepal,Ficus religiosa,Moraceae,"Sacred Fig, Bo Tree, Ashvattha",Tree,Perennial,Medium / Fast,12.8 – 32.1 m,4.6 – 11.6 m,Lateral Spreading,Full Sun,Low / Medium,Red Laterite,7.0 – 8.5,8°C – 47°C,Low (30-50%),South India,Highland,10b,"9.8542°N, 75.6031°E",Both,151.8 – 303.7 kg/yr,14.3 – 28.7 kg/yr,High,Medium / High,Yes – Annual,Organic (Monthly),Low,High,Vertical,Columnar,Deciduous,Winter,Spring,?1284 – ?2569,Seasonally Available,Online (Ugaoo/Nurserylive),Jan-Feb,129.2 – 258.4 sq.m,250 – 434 plants/ha,43.8 – 68.4 m,"9.8542, 75.6031","Peepal (Ficus religiosa) is a perennial tree native to or widely cultivated in India. It belongs to the family Moraceae and thrives in loamy soils. Known for its ornamental value, it is widely planted across South India.",Provides 216.9 kg/year oxygen; absorbs 20.5 kg CO2/year; moderately beneficial for air quality; used in Ayurveda.,Agro-forestry
IND-0004,Tulsi,Ocimum tenuiflorum,Lamiaceae,"Holy Basil, Sacred Basil",Herb,Perennial,Medium / Fast,1.1 – 2.8 m,0.7 – 1.8 m,Lateral Spreading,Full Sun,Low,Alluvial,7.0 – 8.5,19°C – 31°C,Low (30-50%),Pan India,Tropical,12a,"24.8831°N, 92.4084°E",Both,12.7 – 25.3 kg/yr,1.0 – 2.0 kg/yr,Medium,Medium,Not Required,Compost (Bi-monthly),Medium,High,Columnar,Irregular,Evergreen,Year-round,Post-monsoon,?101 – ?203,Easily Available Online,Agricultural Universities,Jul-Aug,3.9 – 7.8 sq.m,2153 – 3732 plants/ha,15.0 – 23.4 m,"24.8831, 92.4084","Tulsi (Ocimum tenuiflorum) is a perennial herb native to or widely cultivated in India. It belongs to the family Lamiaceae and thrives in sandy loam soils. Known for its ornamental value, it is widely planted across Pan India.",Provides 18.1 kg/year oxygen; absorbs 1.4 kg CO2/year; improves AQI; excellent shade tree.,Agro-forestry
IND-0005,Ashoka,Saraca asoca,Fabaceae,"Sita Ashoka, Sorrowless Tree",Tree,Perennial,Slow,9.0 – 22.5 m,6.7 – 16.6 m,Fibrous,Partial / Shade,Medium,Alluvial,6.5 – 8.0,4°C – 32°C,High (70-90%),West India,Subtropical,12a,"20.968°N, 69.3482°E",Rural,102.2 – 204.4 kg/yr,23.4 – 46.9 kg/yr,Very High,Medium,Yes – Annual,Organic (Monthly),Very High,High,Weeping,Irregular,Deciduous,Spring,Jun-Aug,?343 – ?686,Widely Available,"Forest Research Institute, Dehradun",Feb-Mar,61.0 – 122.1 sq.m,273 – 473 plants/ha,41.9 – 65.5 m,"20.968, 69.3482","Ashoka (Saraca asoca) is a perennial tree native to or widely cultivated in India. It belongs to the family Fabaceae and thrives in sandy loam soils. Known for its medicinal value, it is widely planted across West India.",Provides 146.0 kg/year oxygen; absorbs 33.5 kg CO2/year; moderately beneficial for air quality; used in Ayurveda.,Decorative / Ornamental
IND-0006,Amla,Phyllanthus emblica,Phyllanthaceae,"Indian Gooseberry, Amalaki",Tree,Perennial,Medium,9.1 – 22.6 m,4.3 – 10.6 m,Rhizomatous,Full Sun / Partial,Low,Loamy,5.0 – 6.5,2°C – 36°C,Medium (50-70%),South India,Arid,9a,"9.3315°N, 76.916°E",Rural,105.0 – 210.0 kg/yr,14.8 – 29.5 kg/yr,High,Low / Medium,Minimal,None Required,Very High,Medium,Spreading,Columnar,Evergreen,Summer,Feb-Apr,?1410 – ?2821,Widely Available,Private Agri Nursery,Year-round,122.6 – 245.1 sq.m,170 – 295 plants/ha,53.1 – 83.0 m,"9.3315, 76.916","Amla (Phyllanthus emblica) is a perennial tree native to or widely cultivated in India. It belongs to the family Phyllanthaceae and thrives in alluvial soils. Known for its medicinal value, it is widely planted across South India.",Provides 150.0 kg/year oxygen; absorbs 21.1 kg CO2/year; moderately beneficial for air quality; excellent shade tree.,Decorative / Ornamental
IND-0007,Marigold,Tagetes erecta,Asteraceae,"Genda Phool, African Marigold",Flower,Annual,Slow,1.1 – 2.8 m,0.2 – 0.4 m,Adventitious,Shade Tolerant,Medium,Clay Loam,7.0 – 8.5,11°C – 32°C,Low (30-50%),Pan India,Arid,9b,"22.3404°N, 69.6495°E",Both,9.4 – 18.8 kg/yr,4.8 – 9.6 kg/yr,High,Low / Medium,Minimal,Organic (Monthly),High,Susceptible to Fungi,Columnar,Moderate,Evergreen,Feb-Apr,Oct-Dec,?98 – ?196,Easily Available Online,State Forest Dept,Year-round,3.6 – 7.1 sq.m,2294 – 3976 plants/ha,14.5 – 22.6 m,"22.3404, 69.6495","Marigold (Tagetes erecta) is a annual flower native to or widely cultivated in India. It belongs to the family Asteraceae and thrives in black cotton soils. Known for its medicinal value, it is widely planted across Pan India.",Provides 13.4 kg/year oxygen; absorbs 6.89 kg CO2/year; moderately beneficial for air quality; excellent shade tree.,Agro-forestry
IND-0008,Bamboo,Bambusa bambos,Poaceae,"Indian Thorny Bamboo, Bans",Tree,Perennial,Fast,5.0 – 12.5 m,4.3 – 10.8 m,Lateral Spreading,Partial Sun,High,Sandy Loam,7.0 – 8.5,7°C – 36°C,High (70-90%),East India,Humid Subtropical,11b,"21.9949°N, 86.9437°E",Rural,208.2 – 416.4 kg/yr,24.1 – 48.3 kg/yr,Very High,High,Yes – Annual,Organic (Monthly),Very High,High,Vertical,Dense,Deciduous,Spring,Spring,?162 – ?324,Seasonally Available,"Forest Research Institute, Dehradun",Oct-Nov,22.7 – 45.4 sq.m,168 – 292 plants/ha,53.4 – 83.4 m,"21.9949, 86.9437","Bamboo (Bambusa bambos) is a perennial tree native to or widely cultivated in India. It belongs to the family Poaceae and thrives in loamy soils. Known for its medicinal value, it is widely planted across East India.",Provides 297.4 kg/year oxygen; absorbs 34.5 kg CO2/year; moderately beneficial for air quality; used in Ayurveda.,Commercial / Timber
IND-0009,Hibiscus,Hibiscus rosa-sinensis,Malvaceae,"China Rose, Gurhal",Shrub,Perennial,Medium / Fast,2.4 – 6.0 m,1.6 – 4.1 m,Rhizomatous,Partial / Shade,Low / Medium,Loamy,6.0 – 7.5,15°C – 32°C,High (70-90%),North India,Subtropical,12a,"28.5267°N, 79.0649°E",Urban,39.1 – 78.1 kg/yr,1.8 – 3.5 kg/yr,Medium,Low / Medium,Yes – Annual,NPK (Quarterly),Low,Susceptible to Fungi,Bushy,Spreading,Deciduous,Monsoon,Oct-Dec,?189 – ?378,Seasonally Available,Agricultural Universities,Feb-Mar,7.6 – 15.1 sq.m,389 – 674 plants/ha,35.1 – 54.9 m,"28.5267, 79.0649","Hibiscus (Hibiscus rosa-sinensis) is a perennial shrub native to or widely cultivated in India. It belongs to the family Malvaceae and thrives in sandy loam soils. Known for its ornamental value, it is widely planted across North India.",Provides 55.8 kg/year oxygen; absorbs 2.5 kg CO2/year; moderately beneficial for air quality; used in Ayurveda.,Coastal Protection
IND-0010,Bougainvillea,Bougainvillea spectabilis,Nyctaginaceae,"Paper Flower, Buganvilla",Shrub,Perennial,Medium,2.7 – 6.8 m,2.2 – 5.4 m,Shallow Fibrous,Partial Sun,Medium / High,Clay Loam,6.0 – 7.5,10°C – 43°C,Variable,East India,Tropical,9a,"22.1363°N, 90.1581°E",Both,30.4 – 60.9 kg/yr,1.6 – 3.2 kg/yr,Very High,High,Minimal,None Required,High,Susceptible to Fungi,Columnar,Spreading,Deciduous,Oct-Dec,Jun-Aug,?344 – ?688,Widely Available,"Forest Research Institute, Dehradun",Post-monsoon,5.3 – 10.6 sq.m,1081 – 1874 plants/ha,21.0 – 32.9 m,"22.1363, 90.1581","Bougainvillea (Bougainvillea spectabilis) is a perennial shrub native to or widely cultivated in India. It belongs to the family Nyctaginaceae and thrives in black cotton soils. Known for its ornamental value, it is widely planted across East India.",Provides 43.5 kg/year oxygen; absorbs 2.3 kg CO2/year; improves AQI; excellent shade tree.,Decorative / Ornamental
